僐乕僪,柤徧,僼儕僈僫,扨埵,擖悢,婯奿丒宆斣,怓,僒僀僘,悢検彫悢寘,扨壙彫悢寘,嵼屔娗棟,壽惻嬫暘,敪拲儘僢僩,儕乕僪僞僀儉,嵼屔揔惓悢,嵼屔昡壙曽朄,庡偨傞巇擖愭,昗弨昳幙,庡偨傞憅屔,憅屔柤,敪拲楢摦,暘椶侾,暘椶侾柤,暘椶俀,暘椶俀柤,暘椶俁,暘椶俁柤,暘椶係,暘椶係柤,暘椶俆,悢扨埵,儊儌棑,惻敳忋戙,惻敳攧忋扨壙侾,惻敳攧忋扨壙俀,惻敳攧忋扨壙俁,惻敳攧忋扨壙係,惻敳攧忋尨壙,惻敳巇擖扨壙,惻敳昗弨尨壙,惻崬忋戙,惻崬攧忋扨壙侾,惻崬攧忋扨壙俀,惻崬攧忋扨壙俁,惻崬攧忋扨壙係,惻崬攧忋尨壙,惻崬巇擖扨壙,惻崬昗弨尨壙,嶲徠昞帵,峏怴擔
O/098761XX,怐捓 98761XX,地凛 98761XX,斀,0.02,P54/CU46,50M,145,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,10400,8667,7429,6500,5778,5200,5200,5200,,,,,,,,,昞帵偡傞,
O/099220JX,怐捓 99220JX,地凛 99220JX,斀,0.02,P100,50M,140,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,13986,11655,9990,8741,7770,6993,6993,6993,,,,,,,,,昞帵偡傞,
O/099401JX,怐捓 99401JX,地凛 99401JX,斀,0.02,TA48/C35/P17,50M,118,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,13770,11475,9836,8606,7650,6885,6885,6885,,,,,,,,,昞帵偡傞,
O/099556ZX,怐捓 99556ZX,地凛 99556ZX,斀,0.02,TA66/P34,50M,140,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,10000,8333,7143,6250,5556,5000,5000,5000,,,,,,,,,昞帵偡傞,
O/099683YX,怐捓 99683YX,地凛 99683YX,斀,0.02,TA82/P18,50M,140,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,9720,8100,6943,6075,5400,4860,4860,4860,,,,,,,,,昞帵偡傞,
O/099879JX,怐捓 99879JX,地凛 99879JX,斀,0.02,P100,50M,130,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,昞帵偡傞,
O/102144BB,怐捓102144BB,地凛102144BB,斀,0.02,P76/R24,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,10,,L,,,,,M,,9720,8100,6943,6075,5400,4860,4860,4860,,,,,,,,,昞帵偡傞,
O/102633ZX,怐捓102633ZX,地凛102633ZX,斀,0.02,P52/TA48,50M,145,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,6890,5742,4921,4306,3828,3445,3445,3445,,,,,,,,,昞帵偡傞,
O/115157ZA,怐捓115157ZA,地凛115157ZA,斀,0.02,P100,50M,127,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,30,,X,,,,,M,,8100,6750,5786,5063,4500,4050,4050,4050,,,,,,,,,昞帵偡傞,
O/115157ZB,怐捓115157ZB,地凛115157ZB,斀,0.02,P100,50M,127,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,30,,X,,,,,M,,8100,6750,5786,5063,4500,4050,4050,4050,,,,,,,,,昞帵偡傞,
O/115769PL,怐捓115769PL,地凛115769PL,斀,0.02,P100,50M,125,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,10,,L,,,,,M,,8910,7425,6364,5569,4950,4455,4455,4455,,,,,,,,,昞帵偡傞,
O/115859PA,怐捓115859PA,地凛115859PA,斀,0.02,P100,50M,127,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,30,,X,,,,,M,,6890,5742,4921,4306,3828,3445,3445,3445,,,,,,,,,昞帵偡傞,
O/115859XC,怐捓115859XC,地凛115859XC,斀,0.02,P100,50M,97,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,30,,X,,,,,M,,6890,5742,4921,4306,3828,3445,3445,3445,,,,,,,,,昞帵偡傞,
O/123127ZF,怐捓123127ZF,地凛123127ZF,斀,0.02,TA67/P33,50M,140,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,9000,7500,6429,5625,5000,4500,4500,4500,,,,,,,,,昞帵偡傞,
O/127250JD,怐捓127250JD,地凛127250JD,斀,0.02,TA67/P33,50M,130,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,9720,8100,6943,6075,5400,4860,4860,4860,,,,,,,,,昞帵偡傞,
O/127413CX,怐捓127413CX,地凛127413CX,斀,0.02,TA72/P28,50M,140,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,13770,11475,9836,8606,7650,6885,6885,6885,,,,,,,,,昞帵偡傞,
O/135239DB,怐捓135239DB,地凛135239DB,斀,0.02,P100,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,10,,L,,,,,M,,15390,12825,10993,9619,8550,7695,7695,7695,,,,,,,,,昞帵偡傞,
O/135426LH,怐捓135426LH,地凛135426LH,斀,0.02,P90/N10,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,10,,L,,,,,M,,8100,6750,5786,5063,4500,4050,4050,4050,,,,,,,,,昞帵偡傞,
O/135499LX,怐捓135499LX,地凛135499LX,斀,0.02,P82/N18,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,10,,L,,,,,M,,8100,6750,5786,5063,4500,4050,4050,4050,,,,,,,,,昞帵偡傞,
O/135521LD,怐捓135521LD,地凛135521LD,斀,0.02,P73/R14/N13,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,10,,L,,,,,M,,8910,7425,6364,5569,4950,4455,4455,4455,,,,,,,,,昞帵偡傞,
O/135539HX,怐捓135539HX,地凛135539HX,斀,0.02,P92/R8,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,10,,L,,,,,M,,8910,7425,6364,5569,4950,4455,4455,4455,,,,,,,,,昞帵偡傞,
O/135742LX,怐捓135742LX,地凛135742LX,斀,0.02,P95/R5,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,10,,L,,,,,M,,8100,6750,5786,5063,4500,4050,4050,4050,,,,,,,,,昞帵偡傞,
O/159560VX,怐捓159560VX,地凛159560VX,斀,0.025,P100,40M,118,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,5600,4667,4000,3500,3111,2800,2800,2800,,,,,,,,,昞帵偡傞,
O/159577VX,怐捓159577VX,地凛159577VX,斀,0.025,P100,40M,118,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,5600,4667,4000,3500,3111,2800,2800,2800,,,,,,,,,昞帵偡傞,
O/171143YX,怐捓171143YX,地凛171143YX,斀,0.02,CU71/P29,50M,145,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,39148,32623,27963,24468,21749,19574,19574,19574,,,,,,,,,昞帵偡傞,
O/171144YX,怐捓171144YX,地凛171144YX,斀,0.02,CU38/TA33/P29,50M,130,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,39148,32623,27963,24468,21749,19574,19574,19574,,,,,,,,,昞帵偡傞,
O/171222YX,怐捓171222YX,地凛171222YX,斀,0.020833333,CU49/R40/P11,48M,128,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,9600,8000,6857,6000,5333,4800,4800,4800,,,,,,,,,昞帵偡傞,
O/171337YX,怐捓171337YX,地凛171337YX,斀,0.02,R80/CU20,50M,130,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,昞帵偡傞,
O/290045VX,怐捓290045VX,地凛290045VX,斀,0.02173913,AC75/P25,46M,140,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,6716,5597,4797,4198,3731,3358,3358,3358,,,,,,,,,昞帵偡傞,
O/290054YB,怐捓290054YB,地凛290054YB,斀,0.02,R51/L30/P19,50M,120,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,6600,5500,4714,4125,3667,3300,3300,3300,,,,,,,,,昞帵偡傞,
O/290128ZX,怐捓290128ZX,地凛290128ZX,斀,0.01,P100,100M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,10000,8333,7143,6250,5556,5000,5000,5000,,,,,,,,,昞帵偡傞,
O/290169GA,怐捓290169GA,地凛290169GA,斀,0.02,P100,50M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,9600,8000,6857,6000,5333,4800,4800,4800,,,,,,,,,昞帵偡傞,
O/290170GA,怐捓290170GA,地凛290170GA,斀,0.02,P100,50M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,9600,8000,6857,6000,5333,4800,4800,4800,,,,,,,,,昞帵偡傞,
O/290172ZX,怐捓290172ZX,地凛290172ZX,斀,0.02,CU62/P38,50M,130,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,9500,7917,6786,5938,5278,4750,4750,4750,,,,,,,,,昞帵偡傞,
O/290188YX,怐捓290188YX,地凛290188YX,斀,0.023809524,P100,42M,165,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,5712,4760,4080,3570,3173,2856,2856,2856,,,,,,,,,昞帵偡傞,
O/291012ZX,怐捓291012ZX,地凛291012ZX,斀,0.016666667,P61/C39,60M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,8352,6960,5966,5220,4640,4176,4176,4176,,,,,,,,,昞帵偡傞,
O/291014YX,怐捓291014YX,地凛291014YX,斀,0.016949153,P100,59M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,10266,8555,7333,6416,5703,5133,5133,5133,,,,,,,,,昞帵偡傞,
O/291045YX,怐捓291045YX,地凛291045YX,斀,0.017241379,P100,58M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,8700,7250,6214,5438,4833,4350,4350,4350,,,,,,,,,昞帵偡傞,
O/291052YX,怐捓291052YX,地凛291052YX,斀,0.017241379,P100,58M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,9628,8023,6877,6018,5349,4814,4814,4814,,,,,,,,,昞帵偡傞,
O/292028YX,怐捓292028YX,地凛292028YX,斀,0.02,P80/C20,50M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,5200,4333,3714,3250,2889,2600,2600,2600,,,,,,,,,昞帵偡傞,
O/292030LX,怐捓292030LX,地凛292030LX,斀,0.02,P81/C19,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,5300,4417,3786,3313,2944,2650,2650,2650,,,,,,,,,昞帵偡傞,
O/292040YX,怐捓292040YX,地凛292040YX,斀,0.02,P82/C18,50M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,4600,3833,3286,2875,2556,2300,2300,2300,,,,,,,,,昞帵偡傞,
O/292046YX,怐捓292046YX,地凛292046YX,斀,0.02,P87/C13,50M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,4300,3583,3071,2688,2389,2150,2150,2150,,,,,,,,,昞帵偡傞,
O/292047LX,怐捓292047LX,地凛292047LX,斀,0.02,P86/C14,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,5500,4583,3929,3438,3056,2750,2750,2750,,,,,,,,,昞帵偡傞,
O/292048YX,怐捓292048YX,地凛292048YX,斀,0.02,P100,50M,150,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,3300,2750,2357,2063,1833,1650,1650,1650,,,,,,,,,昞帵偡傞,
O/292049LX,怐捓292049LX,地凛292049LX,斀,0.02,P93/C7,50M,148,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,昞帵偡傞,
O/292050YX,怐捓292050YX,地凛292050YX,斀,0.02,P94/CU6,50M,140,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,0,0,0,0,0,0,0,0,,,,,,,,,昞帵偡傞,
O/295000YA,怐捓295000YA,地凛295000YA,斀,0.02,TA65/P35,50M,138,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,8620,7183,6157,5388,4789,4310,4310,4310,,,,,,,,,昞帵偡傞,
O/295023YX,怐捓295023YX,地凛295023YX,斀,0.02,TA73/P27,50M,138,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,14500,12083,10357,9063,8056,7250,7250,7250,,,,,,,,,昞帵偡傞,
O/295025YX,怐捓295025YX,地凛295025YX,斀,0.02,TA50/R40/P10,50M,123,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,10830,9025,7736,6769,6017,5415,5415,5415,,,,,,,,,昞帵偡傞,
O/295026YX,怐捓295026YX,地凛295026YX,斀,0.02,TA55/R35/P10,50M,114,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,10100,8417,7214,6313,5611,5050,5050,5050,,,,,,,,,昞帵偡傞,
O/295027YX,怐捓295027YX,地凛295027YX,斀,0.02,TA55/R35/P10,50M,115,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,9570,7975,6836,5981,5317,4785,4785,4785,,,,,,,,,昞帵偡傞,
O/295028YX,怐捓295028YX,地凛295028YX,斀,0.04,TA57/R34/P9,25M,104,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,12960,10800,9257,8100,7200,6480,6480,6480,,,,,,,,,昞帵偡傞,
O/295029YX,怐捓295029YX,地凛295029YX,斀,0.04,TA57/R34/P9,25M,104,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,50,,E,,,,,M,,12960,10800,9257,8100,7200,6480,6480,6480,,,,,,,,,昞帵偡傞,
O/350035YX,怐捓350035YX,地凛350035YX,斀,0.02,P100,50M,145,1,1,嵼屔娗棟傪峴傢側偄,壽惻,0,0,0,寧暿憤暯嬒,SFN,A,HARA,,旕懳徾,O,惢怐,20,,B,,,,,M,,5600,4667,4000,3500,3111,2800,2800,2800,,,,,,,,,昞帵偡傞,
