íSìñ,åüç∏ì˙,ì`ï[î‘çÜ ,ìEóv ,ïœä∑ì˙ ,íSìñé“ ,ç›å…ïœä∑ãÊï™ ,éwê}î‘çÜ ,ìæà”êÊ ,ëqå…ÉRÅ[Éh ,å≥ëqå…ÉRÅ[Éh ,å≥íSìñé“ 
B,2016/3/24,104,,2016-03-24,B,5,,,HARA,HARA,B
B,2016/3/25,105,,2016-03-25,B,5,,,HARA,HARA,B
B,2016/3/28,106,,2016-03-28,B,5,,,HARA,HARA,B
B,2016/3/29,107,,2016-03-29,B,5,,,HARA,HARA,B
B,2016/3/30,108,,2016-03-30,B,5,,,HARA,HARA,B
B,2016/3/31,109,,2016-03-31,B,5,,,HARA,HARA,B
B,2016/4/1,110,,2016-04-01,B,5,,,HARA,HARA,B
B,2016/4/2,111,,2016-04-02,B,5,,,HARA,HARA,B
B,2016/4/4,112,,2016-04-04,B,5,,,HARA,HARA,B
B,2016/4/5,113,,2016-04-05,B,5,,,HARA,HARA,B
B,2016/4/6,114,,2016-04-06,B,5,,,HARA,HARA,B
B,2016/4/7,115,,2016-04-07,B,5,,,HARA,HARA,B
B,2016/4/8,116,,2016-04-08,B,5,,,HARA,HARA,B
B,2016/4/11,117,,2016-04-11,B,5,,,HARA,HARA,B
B,2016/4/12,118,,2016-04-12,B,5,,,HARA,HARA,B
B,2016/4/13,119,,2016-04-13,B,5,,,HARA,HARA,B
B,2016/4/14,120,,2016-04-14,B,5,,,HARA,HARA,B
B,2016/4/15,121,,2016-04-15,B,5,,,HARA,HARA,B
B,2016/4/16,122,,2016-04-16,B,5,,,HARA,HARA,B
B,2016/4/18,123,,2016-04-18,B,5,,,HARA,HARA,B
B,2016/4/19,124,,2016-04-19,B,5,,,HARA,HARA,B
B,2016/4/20,125,,2016-04-20,B,5,,,HARA,HARA,B
B,2016/4/21,126,,2016-04-21,B,5,,,HARA,HARA,B
B,2016/4/22,127,,2016-04-22,B,5,,,HARA,HARA,B
B,2016/4/25,128,,2016-04-25,B,5,,,HARA,HARA,B
B,2016/4/26,129,,2016-04-26,B,5,,,HARA,HARA,B
B,2016/4/27,130,,2016-04-27,B,5,,,HARA,HARA,B
B,2016/4/28,131,,2016-04-28,B,5,,,HARA,HARA,B
B,2016/5/6,132,,2016-05-06,B,5,,,HARA,HARA,B
B,2016/5/7,133,,2016-05-07,B,5,,,HARA,HARA,B
B,2016/5/9,134,,2016-05-09,B,5,,,HARA,HARA,B
B,2016/5/10,135,,2016-05-10,B,5,,,HARA,HARA,B
B,2016/5/11,136,,2016-05-11,B,5,,,HARA,HARA,B
B,2016/5/12,137,,2016-05-12,B,5,,,HARA,HARA,B
B,2016/5/13,138,,2016-05-13,B,5,,,HARA,HARA,B
B,2016/5/14,139,,2016-05-14,B,5,,,HARA,HARA,B
B,2016/5/16,140,,2016-05-16,B,5,,,HARA,HARA,B
B,2016/5/17,141,,2016-05-17,B,5,,,HARA,HARA,B
B,2016/5/18,142,,2016-05-18,B,5,,,HARA,HARA,B
B,2016/5/19,143,,2016-05-19,B,5,,,HARA,HARA,B
B,2016/5/20,144,,2016-05-20,B,5,,,HARA,HARA,B
B,2016/5/21,145,,2016-05-21,B,5,,,HARA,HARA,B
B,2016/5/23,146,,2016-05-23,B,5,,,HARA,HARA,B
B,2016/5/24,147,,2016-05-24,B,5,,,HARA,HARA,B
B,2016/5/25,148,,2016-05-25,B,5,,,HARA,HARA,B
B,2016/5/26,149,,2016-05-26,B,5,,,HARA,HARA,B
B,2016/5/27,150,,2016-05-27,B,5,,,HARA,HARA,B
B,2016/5/31,151,,2016-05-31,B,5,,,HARA,HARA,B
B,2016/6/1,152,,2016-06-01,B,5,,,HARA,HARA,B
B,2016/6/2,153,,2016-06-02,B,5,,,HARA,HARA,B
B,2016/6/3,154,,2016-06-03,B,5,,,HARA,HARA,B
B,2016/6/4,155,,2016-06-04,B,5,,,HARA,HARA,B
B,2016/6/6,156,,2016-06-06,B,5,,,HARA,HARA,B
B,2016/6/7,157,,2016-06-07,B,5,,,HARA,HARA,B
B,2016/6/8,158,,2016-06-08,B,5,,,HARA,HARA,B
B,2016/6/9,159,,2016-06-09,B,5,,,HARA,HARA,B
B,2016/6/10,160,,2016-06-10,B,5,,,HARA,HARA,B
B,2016/6/13,161,,2016-06-13,B,5,,,HARA,HARA,B
B,2016/6/14,162,,2016-06-14,B,5,,,HARA,HARA,B
B,2016/6/15,163,,2016-06-15,B,5,,,HARA,HARA,B
B,2016/6/16,164,,2016-06-16,B,5,,,HARA,HARA,B
B,2016/6/17,165,,2016-06-17,B,5,,,HARA,HARA,B
B,2016/6/20,166,,2016-06-20,B,5,,,HARA,HARA,B
B,2016/6/21,167,,2016-06-21,B,5,,,HARA,HARA,B
B,2016/6/22,168,,2016-06-22,B,5,,,HARA,HARA,B
B,2016/6/23,169,,2016-06-23,B,5,,,HARA,HARA,B
B,2016/6/24,170,,2016-06-24,B,5,,,HARA,HARA,B
B,2016/6/27,171,,2016-06-27,B,5,,,HARA,HARA,B
B,2016/6/28,172,,2016-06-28,B,5,,,HARA,HARA,B
B,2016/6/29,173,,2016-06-29,B,5,,,HARA,HARA,B
B,2016/6/30,174,,2016-06-30,B,5,,,HARA,HARA,B
B,2016/7/1,175,,2016-07-01,B,5,,,HARA,HARA,B
B,2016/7/2,176,,2016-07-02,B,5,,,HARA,HARA,B
B,2016/7/4,177,,2016-07-04,B,5,,,HARA,HARA,B
B,2016/7/5,178,,2016-07-05,B,5,,,HARA,HARA,B
B,2016/7/6,179,,2016-07-06,B,5,,,HARA,HARA,B
B,2016/7/7,180,,2016-07-07,B,5,,,HARA,HARA,B
B,2016/7/8,181,,2016-07-08,B,5,,,HARA,HARA,B
B,2016/7/11,182,,2016-07-11,B,5,,,HARA,HARA,B
B,2016/7/12,183,,2016-07-12,B,5,,,HARA,HARA,B
B,2016/7/13,184,,2016-07-13,B,5,,,HARA,HARA,B
B,2016/7/14,185,,2016-07-14,B,5,,,HARA,HARA,B
B,2016/7/15,186,,2016-07-15,B,5,,,HARA,HARA,B
B,2016/7/16,187,,2016-07-16,B,5,,,HARA,HARA,B
B,2016/7/19,188,,2016-07-19,B,5,,,HARA,HARA,B
B,2016/7/20,189,,2016-07-20,B,5,,,HARA,HARA,B
B,2016/7/21,190,,2016-07-21,B,5,,,HARA,HARA,B
B,2016/7/22,191,,2016-07-22,B,5,,,HARA,HARA,B
B,2016/7/23,192,,2016-07-23,B,5,,,HARA,HARA,B
B,2016/7/25,193,,2016-07-25,B,5,,,HARA,HARA,B
B,2016/7/26,194,,2016-07-26,B,5,,,HARA,HARA,B
B,2016/7/27,195,,2016-07-27,B,5,,,HARA,HARA,B
B,2016/7/28,196,,2016-07-28,B,5,,,HARA,HARA,B
B,2016/7/29,197,,2016-07-29,B,5,,,HARA,HARA,B
B,2016/7/30,198,,2016-07-30,B,5,,,HARA,HARA,B
B,2016/8/1,199,,2016-08-01,B,5,,,HARA,HARA,B
B,2016/8/2,200,,2016-08-02,B,5,,,HARA,HARA,B
B,2016/8/3,201,,2016-08-03,B,5,,,HARA,HARA,B
B,2016/8/4,202,,2016-08-04,B,5,,,HARA,HARA,B
B,2016/8/5,203,,2016-08-05,B,5,,,HARA,HARA,B
B,2016/8/6,204,,2016-08-06,B,5,,,HARA,HARA,B
B,2016/8/8,205,,2016-08-08,B,5,,,HARA,HARA,B
B,2016/8/9,206,,2016-08-09,B,5,,,HARA,HARA,B
B,2016/8/10,207,,2016-08-10,B,5,,,HARA,HARA,B
B,2016/8/18,208,,2016-08-18,B,5,,,HARA,HARA,B
B,2016/8/19,209,,2016-08-19,B,5,,,HARA,HARA,B
B,2016/8/20,210,,2016-08-20,B,5,,,HARA,HARA,B
B,2016/8/22,211,,2016-08-22,B,5,,,HARA,HARA,B
B,2016/8/23,212,,2016-08-23,B,5,,,HARA,HARA,B
B,2016/8/24,213,,2016-08-24,B,5,,,HARA,HARA,B
B,2016/8/25,214,,2016-08-25,B,5,,,HARA,HARA,B
B,2016/8/26,215,,2016-08-26,B,5,,,HARA,HARA,B
B,2016/8/29,216,,2016-08-29,B,5,,,HARA,HARA,B
B,2016/8/30,217,,2016-08-30,B,5,,,HARA,HARA,B
B,2016/8/31,218,,2016-08-31,B,5,,,HARA,HARA,B
B,2016/9/1,219,,2016-09-01,B,5,,,HARA,HARA,B
B,2016/9/2,220,,2016-09-02,B,5,,,HARA,HARA,B
B,2016/9/5,221,,2016-09-05,B,5,,,HARA,HARA,B
B,2016/9/6,222,,2016-09-06,B,5,,,HARA,HARA,B
B,2016/9/7,223,,2016-09-07,B,5,,,HARA,HARA,B
B,2016/9/8,224,,2016-09-08,B,5,,,HARA,HARA,B
B,2016/9/9,225,,2016-09-09,B,5,,,HARA,HARA,B
B,2016/9/12,226,,2016-09-12,B,5,,,HARA,HARA,B
B,2016/9/13,227,,2016-09-13,B,5,,,HARA,HARA,B
B,2016/9/14,228,,2016-09-14,B,5,,,HARA,HARA,B
B,2016/9/15,229,,2016-09-15,B,5,,,HARA,HARA,B
B,2016/9/16,230,,2016-09-16,B,5,,,HARA,HARA,B
B,2016/9/17,231,,2016-09-17,B,5,,,HARA,HARA,B
B,2016/9/20,232,,2016-09-20,B,5,,,HARA,HARA,B
B,2016/9/21,233,,2016-09-21,B,5,,,HARA,HARA,B
B,2016/9/22,234,,2016-09-22,B,5,,,HARA,HARA,B
B,2016/9/23,235,,2016-09-23,B,5,,,HARA,HARA,B
B,2016/9/24,236,,2016-09-24,B,5,,,HARA,HARA,B
B,2016/9/26,237,,2016-09-26,B,5,,,HARA,HARA,B
B,2016/9/27,238,,2016-09-27,B,5,,,HARA,HARA,B
B,2016/9/28,239,,2016-09-28,B,5,,,HARA,HARA,B
B,2016/9/29,240,,2016-09-29,B,5,,,HARA,HARA,B
B,2016/9/30,241,,2016-09-30,B,5,,,HARA,HARA,B
B,2016/10/1,242,,2016-10-01,B,5,,,HARA,HARA,B
B,2016/10/3,243,,2016-10-03,B,5,,,HARA,HARA,B
B,2016/10/4,244,,2016-10-04,B,5,,,HARA,HARA,B
B,2016/10/5,245,,2016-10-05,B,5,,,HARA,HARA,B
B,2016/10/6,246,,2016-10-06,B,5,,,HARA,HARA,B
B,2016/10/7,247,,2016-10-07,B,5,,,HARA,HARA,B
B,2016/10/8,248,,2016-10-08,B,5,,,HARA,HARA,B
B,2016/10/11,249,,2016-10-11,B,5,,,HARA,HARA,B
B,2016/10/12,250,,2016-10-12,B,5,,,HARA,HARA,B
B,2016/10/13,251,,2016-10-13,B,5,,,HARA,HARA,B
B,2016/10/14,252,,2016-10-14,B,5,,,HARA,HARA,B
B,2016/10/15,253,,2016-10-15,B,5,,,HARA,HARA,B
B,2016/10/17,254,,2016-10-17,B,5,,,HARA,HARA,B
B,2016/10/18,255,,2016-10-18,B,5,,,HARA,HARA,B
B,2016/10/19,256,,2016-10-19,B,5,,,HARA,HARA,B
B,2016/10/20,257,,2016-10-20,B,5,,,HARA,HARA,B
B,2016/10/21,258,,2016-10-21,B,5,,,HARA,HARA,B
B,2016/10/24,259,,2016-10-24,B,5,,,HARA,HARA,B
B,2016/10/25,260,,2016-10-25,B,5,,,HARA,HARA,B
B,2016/10/26,261,,2016-10-26,B,5,,,HARA,HARA,B
B,2016/10/27,262,,2016-10-27,B,5,,,HARA,HARA,B
B,2016/10/28,263,,2016-10-28,B,5,,,HARA,HARA,B
B,2016/10/29,264,,2016-10-29,B,5,,,HARA,HARA,B
B,2016/10/31,265,,2016-10-31,B,5,,,HARA,HARA,B
B,2016/11/1,266,,2016-11-01,B,5,,,HARA,HARA,B
B,2016/11/2,267,,2016-11-02,B,5,,,HARA,HARA,B
B,2016/11/3,268,,2016-11-03,B,5,,,HARA,HARA,B
B,2016/11/4,269,,2016-11-04,B,5,,,HARA,HARA,B
B,2016/11/7,270,,2016-11-07,B,5,,,HARA,HARA,B
B,2016/11/8,271,,2016-11-08,B,5,,,HARA,HARA,B
B,2016/11/9,272,,2016-11-09,B,5,,,HARA,HARA,B
B,2016/11/10,273,,2016-11-10,B,5,,,HARA,HARA,B
B,2016/11/11,274,,2016-11-11,B,5,,,HARA,HARA,B
B,2016/11/14,275,,2016-11-14,B,5,,,HARA,HARA,B
B,2016/11/15,276,,2016-11-15,B,5,,,HARA,HARA,B
B,2016/11/16,277,,2016-11-16,B,5,,,HARA,HARA,B
B,2016/11/17,278,,2016-11-17,B,5,,,HARA,HARA,B
B,2016/11/18,279,,2016-11-18,B,5,,,HARA,HARA,B
B,2016/11/19,280,,2016-11-19,B,5,,,HARA,HARA,B
B,2016/11/21,281,,2016-11-21,B,5,,,HARA,HARA,B
B,2016/11/22,282,,2016-11-22,B,5,,,HARA,HARA,B
B,2016/11/23,283,,2016-11-23,B,5,,,HARA,HARA,B
B,2016/11/24,284,,2016-11-24,B,5,,,HARA,HARA,B
B,2016/11/25,285,,2016-11-25,B,5,,,HARA,HARA,B
B,2016/11/28,286,,2016-11-28,B,5,,,HARA,HARA,B
B,2016/11/29,287,,2016-11-29,B,5,,,HARA,HARA,B
B,2016/11/30,288,,2016-11-30,B,5,,,HARA,HARA,B
B,2016/12/1,289,,2016-12-01,B,5,,,HARA,HARA,B
B,2016/12/2,290,,2016-12-02,B,5,,,HARA,HARA,B
B,2016/12/3,291,,2016-12-03,B,5,,,HARA,HARA,B
B,2016/12/5,292,,2016-12-05,B,5,,,HARA,HARA,B
B,2016/12/6,293,,2016-12-06,B,5,,,HARA,HARA,B
B,2016/12/7,294,,2016-12-07,B,5,,,HARA,HARA,B
B,2016/12/8,295,,2016-12-08,B,5,,,HARA,HARA,B
B,2016/12/9,296,,2016-12-09,B,5,,,HARA,HARA,B
B,2016/12/12,297,,2016-12-12,B,5,,,HARA,HARA,B
B,2016/12/13,298,,2016-12-13,B,5,,,HARA,HARA,B
B,2016/12/14,299,,2016-12-14,B,5,,,HARA,HARA,B
B,2016/12/15,300,,2016-12-15,B,5,,,HARA,HARA,B
B,2016/12/16,301,,2016-12-16,B,5,,,HARA,HARA,B
B,2016/12/17,302,,2016-12-17,B,5,,,HARA,HARA,B
B,2016/12/19,303,,2016-12-19,B,5,,,HARA,HARA,B
B,2016/12/20,304,,2016-12-20,B,5,,,HARA,HARA,B
B,2016/12/21,305,,2016-12-21,B,5,,,HARA,HARA,B
B,2016/12/22,306,,2016-12-22,B,5,,,HARA,HARA,B
B,2016/12/23,307,,2016-12-23,B,5,,,HARA,HARA,B
B,2016/12/24,308,,2016-12-24,B,5,,,HARA,HARA,B
B,2016/12/26,309,,2016-12-26,B,5,,,HARA,HARA,B
B,2016/12/27,310,,2016-12-27,B,5,,,HARA,HARA,B
B,2016/12/28,311,,2016-12-28,B,5,,,HARA,HARA,B
B,2017/1/5,312,,2017-01-05,B,5,,,HARA,HARA,B
B,2017/1/6,313,,2017-01-06,B,5,,,HARA,HARA,B
B,2017/1/7,314,,2017-01-07,B,5,,,HARA,HARA,B
B,2017/1/9,315,,2017-01-09,B,5,,,HARA,HARA,B
B,2017/1/10,316,,2017-01-10,B,5,,,HARA,HARA,B
B,2017/1/11,317,,2017-01-11,B,5,,,HARA,HARA,B
B,2017/1/12,318,,2017-01-12,B,5,,,HARA,HARA,B
B,2017/1/13,319,,2017-01-13,B,5,,,HARA,HARA,B
B,2017/1/16,320,,2017-01-16,B,5,,,HARA,HARA,B
B,2017/1/17,321,,2017-01-17,B,5,,,HARA,HARA,B
B,2017/1/18,322,,2017-01-18,B,5,,,HARA,HARA,B
B,2017/1/19,323,,2017-01-19,B,5,,,HARA,HARA,B
B,2017/1/20,324,,2017-01-20,B,5,,,HARA,HARA,B
B,2017/1/21,325,,2017-01-21,B,5,,,HARA,HARA,B
B,2017/1/23,326,,2017-01-23,B,5,,,HARA,HARA,B
B,2017/1/24,327,,2017-01-24,B,5,,,HARA,HARA,B
B,2017/1/25,328,,2017-01-25,B,5,,,HARA,HARA,B
B,2017/1/26,329,,2017-01-26,B,5,,,HARA,HARA,B
B,2017/1/27,330,,2017-01-27,B,5,,,HARA,HARA,B
B,2017/1/30,331,,2017-01-30,B,5,,,HARA,HARA,B
B,2017/1/31,332,,2017-01-31,B,5,,,HARA,HARA,B
B,2017/2/1,333,,2017-02-01,B,5,,,HARA,HARA,B
B,2017/2/2,334,,2017-02-02,B,5,,,HARA,HARA,B
B,2017/2/3,335,,2017-02-03,B,5,,,HARA,HARA,B
B,2017/2/4,336,,2017-02-04,B,5,,,HARA,HARA,B
B,2017/2/6,337,,2017-02-06,B,5,,,HARA,HARA,B
B,2017/2/7,338,,2017-02-07,B,5,,,HARA,HARA,B
B,2017/2/8,339,,2017-02-08,B,5,,,HARA,HARA,B
B,2017/2/9,340,,2017-02-09,B,5,,,HARA,HARA,B
B,2017/2/10,341,,2017-02-10,B,5,,,HARA,HARA,B
B,2017/2/13,342,,2017-02-13,B,5,,,HARA,HARA,B
B,2017/2/14,343,,2017-02-14,B,5,,,HARA,HARA,B
B,2017/2/15,344,,2017-02-15,B,5,,,HARA,HARA,B
B,2017/2/16,345,,2017-02-16,B,5,,,HARA,HARA,B
B,2017/2/17,346,,2017-02-17,B,5,,,HARA,HARA,B
B,2017/2/18,347,,2017-02-18,B,5,,,HARA,HARA,B
B,2017/2/20,348,,2017-02-20,B,5,,,HARA,HARA,B
B,2017/2/21,349,,2017-02-21,B,5,,,HARA,HARA,B
B,2017/2/22,350,,2017-02-22,B,5,,,HARA,HARA,B
B,2017/2/23,351,,2017-02-23,B,5,,,HARA,HARA,B
B,2017/2/24,352,,2017-02-24,B,5,,,HARA,HARA,B
B,2017/2/27,353,,2017-02-27,B,5,,,HARA,HARA,B
B,2017/2/28,354,,2017-02-28,B,5,,,HARA,HARA,B
C,2007/3/14,355,,2007-03-14,C,5,,,HARA,HARA,C
C,2007/5/1,356,,2007-05-01,C,5,,,HARA,HARA,C
C,2007/5/8,357,,2007-05-08,C,5,,,HARA,HARA,C
C,2007/5/14,358,,2007-05-14,C,5,,,HARA,HARA,C
C,2007/5/17,359,,2007-05-17,C,5,,,HARA,HARA,C
C,2007/5/25,360,,2007-05-25,C,5,,,HARA,HARA,C
C,2008/7/17,361,,2008-07-17,C,5,,,HARA,HARA,C
C,2008/7/25,362,,2008-07-25,C,5,,,HARA,HARA,C
C,2009/7/22,363,,2009-07-22,C,5,,,HARA,HARA,C
C,2009/7/23,364,,2009-07-23,C,5,,,HARA,HARA,C
C,2009/7/24,365,,2009-07-24,C,5,,,HARA,HARA,C
C,2009/7/27,366,,2009-07-27,C,5,,,HARA,HARA,C
C,2010/6/10,367,,2010-06-10,C,5,,,HARA,HARA,C
C,2010/6/11,368,,2010-06-11,C,5,,,HARA,HARA,C
C,2010/6/14,369,,2010-06-14,C,5,,,HARA,HARA,C
C,2010/8/20,370,,2010-08-20,C,5,,,HARA,HARA,C
C,2010/10/8,371,,2010-10-08,C,5,,,HARA,HARA,C
C,2011/6/15,372,,2011-06-15,C,5,,,HARA,HARA,C
C,2011/7/19,373,,2011-07-19,C,5,,,HARA,HARA,C
C,2011/8/29,374,,2011-08-29,C,5,,,HARA,HARA,C
C,2011/9/2,375,,2011-09-02,C,5,,,HARA,HARA,C
C,2011/9/6,376,,2011-09-06,C,5,,,HARA,HARA,C
C,2011/9/9,377,,2011-09-09,C,5,,,HARA,HARA,C
C,2011/9/10,378,,2011-09-10,C,5,,,HARA,HARA,C
C,2011/9/16,379,,2011-09-16,C,5,,,HARA,HARA,C
C,2011/9/21,380,,2011-09-21,C,5,,,HARA,HARA,C
C,2011/9/26,381,,2011-09-26,C,5,,,HARA,HARA,C
C,2011/9/27,382,,2011-09-27,C,5,,,HARA,HARA,C
C,2011/9/30,383,,2011-09-30,C,5,,,HARA,HARA,C
C,2011/10/7,384,,2011-10-07,C,5,,,HARA,HARA,C
C,2011/10/10,385,,2011-10-10,C,5,,,HARA,HARA,C
C,2011/10/24,386,,2011-10-24,C,5,,,HARA,HARA,C
C,2011/11/8,387,,2011-11-08,C,5,,,HARA,HARA,C
C,2011/11/9,388,,2011-11-09,C,5,,,HARA,HARA,C
C,2011/11/11,389,,2011-11-11,C,5,,,HARA,HARA,C
C,2011/11/12,390,,2011-11-12,C,5,,,HARA,HARA,C
C,2012/1/11,391,,2012-01-11,C,5,,,HARA,HARA,C
C,2012/1/18,392,,2012-01-18,C,5,,,HARA,HARA,C
